[    2.071104] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x00034025, pc=0x080014F4 
[    2.071670] Interrupt Taken: 	 Vector = 0x0000000F
[    2.071930] Interrupt Served: 	 Vector = 0x0000000F
[    2.074832] Interrupt Taken: 	 Vector = 0x0000000F
[    2.074951] Interrupt Served: 	 Vector = 0x0000000F
[    2.078317] Interrupt Taken: 	 Vector = 0x0000000F
[    2.078396] Interrupt Served: 	 Vector = 0x0000000F
[    2.082197] Interrupt Taken: 	 Vector = 0x0000000F
[    2.082258] Interrupt Served: 	 Vector = 0x0000000F
[    2.085772] Interrupt Taken: 	 Vector = 0x0000000F
[    2.085930] Interrupt Served: 	 Vector = 0x0000000F
[    2.088875] Interrupt Taken: 	 Vector = 0x0000000F
[    2.089016] Interrupt Served: 	 Vector = 0x0000000F
[    2.092789] Interrupt Taken: 	 Vector = 0x0000000F
[    2.092860] Interrupt Served: 	 Vector = 0x0000000F
[    2.097148] Interrupt Taken: 	 Vector = 0x0000000F
[    2.097306] Interrupt Served: 	 Vector = 0x0000000F
[    2.100117] Interrupt Taken: 	 Vector = 0x0000000F
[    2.100250] Interrupt Served: 	 Vector = 0x0000000F
[    2.103842] Interrupt Taken: 	 Vector = 0x0000000F
[    2.103938] Interrupt Served: 	 Vector = 0x0000000F
[    2.107487] Interrupt Taken: 	 Vector = 0x0000000F
[    2.107562] Interrupt Served: 	 Vector = 0x0000000F
[    2.111429] Interrupt Taken: 	 Vector = 0x0000000F
[    2.111523] Interrupt Served: 	 Vector = 0x0000000F
[    2.115021] [passthrough] Read: 	 address = 0x58024410, size = 4 bytes, value = 0x00000000, pc=0x0800176E 
[    2.115504] Interrupt Taken: 	 Vector = 0x0000000F
[    2.115547] Interrupt Served: 	 Vector = 0x0000000F
[    2.119053] Interrupt Taken: 	 Vector = 0x0000000F
[    2.119119] Interrupt Served: 	 Vector = 0x0000000F
[    2.123055] Interrupt Taken: 	 Vector = 0x0000000F
[    2.123158] Interrupt Served: 	 Vector = 0x0000000F
[    2.126152] Interrupt Taken: 	 Vector = 0x0000000F
[    2.126228] Interrupt Served: 	 Vector = 0x0000000F
[    2.129937] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x00034025, pc=0x0800177A 
[    2.130557] Interrupt Taken: 	 Vector = 0x0000000F
[    2.130624] Interrupt Served: 	 Vector = 0x0000000F
[    2.134692] Interrupt Taken: 	 Vector = 0x0000000F
[    2.134763] Interrupt Served: 	 Vector = 0x0000000F
[    2.138293] [passthrough] Write: 	 address = 0x58024400, size = 4 bytes, value = 0x00034025, pc=0x08001782 
[    2.138997] Interrupt Taken: 	 Vector = 0x0000000F
[    2.139045] Interrupt Served: 	 Vector = 0x0000000F
[    2.142437] Interrupt Taken: 	 Vector = 0x0000000F
[    2.142477] Interrupt Served: 	 Vector = 0x0000000F
[    2.146000] Interrupt Taken: 	 Vector = 0x0000000F
[    2.146078] Interrupt Served: 	 Vector = 0x0000000F
[    2.150233] Interrupt Taken: 	 Vector = 0x0000000F
[    2.150299] Interrupt Served: 	 Vector = 0x0000000F
[    2.154062] [passthrough] Read: 	 address = 0x58024400, size = 4 bytes, value = 0x00034025, pc=0x0800178C 
[    2.154525] Interrupt Taken: 	 Vector = 0x0000000F
[    2.154670] Interrupt Served: 	 Vector = 0x0000000F
[    2.157560] Interrupt Taken: 	 Vector = 0x0000000F
[    2.157662] Interrupt Served: 	 Vector = 0x0000000F
[    2.161439] Interrupt Taken: 	 Vector = 0x0000000F
[    2.161524] Interrupt Served: 	 Vector = 0x0000000F
[    2.168071] Interrupt Taken: 	 Vector = 0x0000000F
[    2.168179] Interrupt Served: 	 Vector = 0x0000000F
[    2.171715] [passthrough] Read: 	 address = 0x58024428, size = 4 bytes, value = 0x00000000, pc=0x08001792 
[    2.172214] Interrupt Taken: 	 Vector = 0x0000000F
[    2.172276] Interrupt Served: 	 Vector = 0x0000000F
[    2.176791] Interrupt Taken: 	 Vector = 0x0000000F
[    2.176843] Interrupt Served: 	 Vector = 0x0000000F
[    2.180343] [passthrough] Write: 	 address = 0x58024428, size = 4 bytes, value = 0x00000012, pc=0x080017A6 
[    2.181162] Interrupt Taken: 	 Vector = 0x0000000F
[    2.181225] Interrupt Served: 	 Vector = 0x0000000F
[    2.186860] Interrupt Taken: 	 Vector = 0x0000000F
[    2.186964] Interrupt Served: 	 Vector = 0x0000000F
[    2.190766] [passthrough] Write: 	 address = 0x58024430, size = 4 bytes, value = 0x01030263, pc=0x080017D6 
[    2.191602] Interrupt Taken: 	 Vector = 0x0000000F
[    2.191662] Interrupt Served: 	 Vector = 0x0000000F
[    2.196250] Interrupt Taken: 	 Vector = 0x0000000F
[    2.196357] Interrupt Served: 	 Vector = 0x0000000F
[    2.199951] [passthrough] Read: 	 address = 0x58024434, size = 4 bytes, value = 0x00000000, pc=0x080017D8 
[    2.200486] Interrupt Taken: 	 Vector = 0x0000000F
[    2.200540] Interrupt Served: 	 Vector = 0x0000000F
[    2.204761] Interrupt Taken: 	 Vector = 0x0000000F
[    2.204836] Interrupt Served: 	 Vector = 0x0000000F
[    2.208330] [passthrough] Write: 	 address = 0x58024434, size = 4 bytes, value = 0x00000000, pc=0x080017F0 
[    2.209000] Interrupt Taken: 	 Vector = 0x0000000F
[    2.209119] Interrupt Served: 	 Vector = 0x0000000F
[    2.212080] Interrupt Taken: 	 Vector = 0x0000000F
[    2.212147] Interrupt Served: 	 Vector = 0x0000000F
[    2.216040] Interrupt Taken: 	 Vector = 0x0000000F
[    2.216410] Interrupt Served: 	 Vector = 0x0000000F
[    2.219422] Interrupt Taken: 	 Vector = 0x0000000F
[    2.219525] Interrupt Served: 	 Vector = 0x0000000F
[    2.222958] [passthrough] Read: 	 address = 0x5802442C, size = 4 bytes, value = 0x00000000, pc=0x080017F2 
[    2.223428] Interrupt Taken: 	 Vector = 0x0000000F
[    2.223471] Interrupt Served: 	 Vector = 0x0000000F
[    2.227017] Interrupt Taken: 	 Vector = 0x0000000F
[    2.227068] Interrupt Served: 	 Vector = 0x0000000F
[    2.230585] [passthrough] Write: 	 address = 0x5802442C, size = 4 bytes, value = 0x0000000c, pc=0x080017FC 
[    2.231270] Interrupt Taken: 	 Vector = 0x0000000F
[    2.231316] Interrupt Served: 	 Vector = 0x0000000F
[    2.234868] Interrupt Taken: 	 Vector = 0x0000000F
[    2.234959] Interrupt Served: 	 Vector = 0x0000000F
[    2.238554] [passthrough] Read: 	 address = 0x5802442C, size = 4 bytes, value = 0x0000000c, pc=0x080017FE 
[    2.240585] Interrupt Taken: 	 Vector = 0x0000000F
[    2.240645] Interrupt Served: 	 Vector = 0x0000000F
[    2.244033] [passthrough] Write: 	 address = 0x5802442C, size = 4 bytes, value = 0x0000000c, pc=0x08001808 
[    2.244756] Interrupt Taken: 	 Vector = 0x0000000F
[    2.244823] Interrupt Served: 	 Vector = 0x0000000F
[    2.249171] Interrupt Taken: 	 Vector = 0x0000000F
[    2.249313] Interrupt Served: 	 Vector = 0x0000000F
[    2.252229] Interrupt Taken: 	 Vector = 0x0000000F
[    2.252334] Interrupt Served: 	 Vector = 0x0000000F
[    2.256124] [passthrough] Read: 	 address = 0x5802442C, size = 4 bytes, value = 0x0000000c, pc=0x0800180A 
[    2.256581] Interrupt Taken: 	 Vector = 0x0000000F
[    2.256707] Interrupt Served: 	 Vector = 0x0000000F
[    2.259934] Interrupt Taken: 	 Vector = 0x0000000F
[    2.260001] Interrupt Served: 	 Vector = 0x0000000F
[    2.263985] Interrupt Taken: 	 Vector = 0x0000000F
[    2.264057] Interrupt Served: 	 Vector = 0x0000000F
[    2.267683] [passthrough] Write: 	 address = 0x5802442C, size = 4 bytes, value = 0x0001000c, pc=0x08001810 
[    2.268299] Interrupt Taken: 	 Vector = 0x0000000F
[    2.268358] Interrupt Served: 	 Vector = 0x0000000F
[    2.272439] Interrupt Taken: 	 Vector = 0x0000000F
[    2.272528] Interrupt Served: 	 Vector = 0x0000000F
[    2.275943] [passthrough] Read: 	 address = 0x5802442C, size = 4 bytes, value = 0x0001000c, pc=0x08001812 
[    2.276470] Interrupt Taken: 	 Vector = 0x0000000F
[    2.276593] Interrupt Served: 	 Vector = 0x0000000F
[    2.279520] Interrupt Taken: 	 Vector = 0x0000000F
[    2.279654] Interrupt Served: 	 Vector = 0x0000000F
[    2.284126] Interrupt Taken: 	 Vector = 0x0000000F
[    2.284199] Interrupt Served: 	 Vector = 0x0000000F
[    2.288261] [passthrough] Write: 	 address = 0x5802442C, size = 4 bytes, value = 0x0003000c, pc=0x08001818 
[    2.289020] Interrupt Taken: 	 Vector = 0x0000000F
[    2.289077] Interrupt Served: 	 Vector = 0x0000000F
[    2.293147] Interrupt Taken: 	 Vector = 0x0000000F
[    2.293207] Interrupt Served: 	 Vector = 0x0000000F
[    2.296679] [passthrough] Read: 	 address = 0x5802442C, size = 4 bytes, value = 0x0003000c, pc=0x0800181A 
[    2.297602] Interrupt Taken: 	 Vector = 0x0000000F
[    2.297697] Interrupt Served: 	 Vector = 0x0000000F
[    2.302044] Interrupt Taken: 	 Vector = 0x0000000F
[    2.302107] Interrupt Served: 	 Vector = 0x0000000F
[    2.305402] [passthrough] Write: 	 address = 0x5802442C, size = 4 bytes, value = 0x0007000c, pc=0x08001820 
[    2.306199] Interrupt Taken: 	 Vector = 0x0000000F
[    2.306260] Interrupt Served: 	 Vector = 0x0000000F
[    2.310296] Interrupt Taken: 	 Vector = 0x0000000F
[    2.310350] Interrupt Served: 	 Vector = 0x0000000F
[    2.314240] [passthrough] Read: 	 address = 0x5802442C, size = 4 bytes, value = 0x0007000c, pc=0x08001822 
[    2.314822] Interrupt Taken: 	 Vector = 0x0000000F
[    2.315244] Interrupt Served: 	 Vector = 0x0000000F
[    2.318104] Interrupt Taken: 	 Vector = 0x0000000F
[    2.318194] Interrupt Served: 	 Vector = 0x0000000F
[    2.321955] Interrupt Taken: 	 Vector = 0x0000000F
[    2.322039] Interrupt Served: 	 Vector = 0x0000000F
[    2.325544] [passthrough] Write: 	 address = 0x5802442C, size = 4 bytes, value = 0x0007000d, pc=0x08001828 
