[    2.100810] Interrupt Taken: 	 Vector = 0x0000000F
[    2.100926] Interrupt Served: 	 Vector = 0x0000000F
[    2.103187] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x00000000, pc=0x08001686 
[    2.103554] Interrupt Taken: 	 Vector = 0x0000000F
[    2.103594] Interrupt Served: 	 Vector = 0x0000000F
[    2.106060] Interrupt Taken: 	 Vector = 0x0000000F
[    2.106143] Interrupt Served: 	 Vector = 0x0000000F
[    2.108152] [passthrough] Write: 	 address = 0x40023808, size = 4 bytes, value = 0x00001c00, pc=0x0800168E 
[    2.108903] Interrupt Taken: 	 Vector = 0x0000000F
[    2.109111] Interrupt Served: 	 Vector = 0x0000000F
[    2.110727] Interrupt Taken: 	 Vector = 0x0000000F
[    2.110805] Interrupt Served: 	 Vector = 0x0000000F
[    2.113244] Interrupt Taken: 	 Vector = 0x0000000F
[    2.113320] Interrupt Served: 	 Vector = 0x0000000F
[    2.116636] Interrupt Taken: 	 Vector = 0x0000000F
[    2.116739] Interrupt Served: 	 Vector = 0x0000000F
[    2.118646] Interrupt Taken: 	 Vector = 0x0000000F
[    2.118742] Interrupt Served: 	 Vector = 0x0000000F
[    2.120959] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x00001c00, pc=0x0800169E 
[    2.121367] Interrupt Taken: 	 Vector = 0x0000000F
[    2.121420] Interrupt Served: 	 Vector = 0x0000000F
[    2.124602] Interrupt Taken: 	 Vector = 0x0000000F
[    2.124681] Interrupt Served: 	 Vector = 0x0000000F
[    2.126824] [passthrough] Write: 	 address = 0x40023808, size = 4 bytes, value = 0x0000fc00, pc=0x080016A6 
[    2.127464] Interrupt Taken: 	 Vector = 0x0000000F
[    2.127543] Interrupt Served: 	 Vector = 0x0000000F
[    2.130427] Interrupt Taken: 	 Vector = 0x0000000F
[    2.130511] Interrupt Served: 	 Vector = 0x0000000F
[    2.132436] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x0000fc00, pc=0x080016AA 
[    2.132884] Interrupt Taken: 	 Vector = 0x0000000F
[    2.132926] Interrupt Served: 	 Vector = 0x0000000F
[    2.135954] Interrupt Taken: 	 Vector = 0x0000000F
[    2.136048] Interrupt Served: 	 Vector = 0x0000000F
[    2.137565] Interrupt Taken: 	 Vector = 0x0000000F
[    2.137614] Interrupt Served: 	 Vector = 0x0000000F
[    2.139704] [passthrough] Write: 	 address = 0x40023808, size = 4 bytes, value = 0x0000fc00, pc=0x080016B8 
[    2.140411] Interrupt Taken: 	 Vector = 0x0000000F
[    2.140498] Interrupt Served: 	 Vector = 0x0000000F
[    2.142712] Interrupt Taken: 	 Vector = 0x0000000F
[    2.142805] Interrupt Served: 	 Vector = 0x0000000F
[    2.144233] Interrupt Taken: 	 Vector = 0x0000000F
[    2.144281] Interrupt Served: 	 Vector = 0x0000000F
[    2.146796] Interrupt Taken: 	 Vector = 0x0000000F
[    2.146857] Interrupt Served: 	 Vector = 0x0000000F
[    2.149195] Interrupt Taken: 	 Vector = 0x0000000F
[    2.149259] Interrupt Served: 	 Vector = 0x0000000F
[    2.151839] Interrupt Taken: 	 Vector = 0x0000000F
[    2.152034] Interrupt Served: 	 Vector = 0x0000000F
[    2.153513] Interrupt Taken: 	 Vector = 0x0000000F
[    2.153576] Interrupt Served: 	 Vector = 0x0000000F
[    2.156523] [passthrough] Read: 	 address = 0x40023800, size = 4 bytes, value = 0x00008083, pc=0x080016F8 
[    2.156970] Interrupt Taken: 	 Vector = 0x0000000F
[    2.157139] Interrupt Served: 	 Vector = 0x0000000F
[    2.158797] Interrupt Taken: 	 Vector = 0x0000000F
[    2.158870] Interrupt Served: 	 Vector = 0x0000000F
[    2.161124] Interrupt Taken: 	 Vector = 0x0000000F
[    2.161186] Interrupt Served: 	 Vector = 0x0000000F
[    2.163888] Interrupt Taken: 	 Vector = 0x0000000F
[    2.164018] Interrupt Served: 	 Vector = 0x0000000F
[    2.165635] Interrupt Taken: 	 Vector = 0x0000000F
[    2.165732] Interrupt Served: 	 Vector = 0x0000000F
[    2.167954] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x0000fc00, pc=0x08001708 
[    2.168443] Interrupt Taken: 	 Vector = 0x0000000F
[    2.168537] Interrupt Served: 	 Vector = 0x0000000F
[    2.171444] Interrupt Taken: 	 Vector = 0x0000000F
[    2.171570] Interrupt Served: 	 Vector = 0x0000000F
[    2.173060] Interrupt Taken: 	 Vector = 0x0000000F
[    2.173129] Interrupt Served: 	 Vector = 0x0000000F
[    2.175241] [passthrough] Write: 	 address = 0x40023808, size = 4 bytes, value = 0x0000fc00, pc=0x08001716 
[    2.175990] Interrupt Taken: 	 Vector = 0x0000000F
[    2.176037] Interrupt Served: 	 Vector = 0x0000000F
[    2.178449] Interrupt Taken: 	 Vector = 0x0000000F
[    2.178550] Interrupt Served: 	 Vector = 0x0000000F
[    2.180935] Interrupt Taken: 	 Vector = 0x0000000F
[    2.180994] Interrupt Served: 	 Vector = 0x0000000F
[    2.183021] Interrupt Taken: 	 Vector = 0x0000000F
[    2.183070] Interrupt Served: 	 Vector = 0x0000000F
[    2.186428] Interrupt Taken: 	 Vector = 0x0000000F
[    2.186536] Interrupt Served: 	 Vector = 0x0000000F
[    2.188778] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x0000fc00, pc=0x08001738 
[    2.189167] Interrupt Taken: 	 Vector = 0x0000000F
[    2.189214] Interrupt Served: 	 Vector = 0x0000000F
[    2.191701] Interrupt Taken: 	 Vector = 0x0000000F
[    2.191825] Interrupt Served: 	 Vector = 0x0000000F
[    2.193439] Interrupt Taken: 	 Vector = 0x0000000F
[    2.193529] Interrupt Served: 	 Vector = 0x0000000F
[    2.195992] Interrupt Taken: 	 Vector = 0x0000000F
[    2.196066] Interrupt Served: 	 Vector = 0x0000000F
[    2.198357] [passthrough] Read: 	 address = 0x40023C00, size = 4 bytes, value = 0x00000000, pc=0x0800174A 
[    2.198736] Interrupt Taken: 	 Vector = 0x0000000F
[    2.198892] Interrupt Served: 	 Vector = 0x0000000F
[    2.200460] Interrupt Taken: 	 Vector = 0x0000000F
[    2.200559] Interrupt Served: 	 Vector = 0x0000000F
[    2.203051] Interrupt Taken: 	 Vector = 0x0000000F
[    2.203119] Interrupt Served: 	 Vector = 0x0000000F
[    2.205651] Interrupt Taken: 	 Vector = 0x0000000F
[    2.205816] Interrupt Served: 	 Vector = 0x0000000F
[    2.208697] Interrupt Taken: 	 Vector = 0x0000000F
[    2.208793] Interrupt Served: 	 Vector = 0x0000000F
[    2.210443] Interrupt Taken: 	 Vector = 0x0000000F
[    2.210536] Interrupt Served: 	 Vector = 0x0000000F
[    2.212706] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x0000fc00, pc=0x08001786 
[    2.213132] Interrupt Taken: 	 Vector = 0x0000000F
[    2.213288] Interrupt Served: 	 Vector = 0x0000000F
[    2.214872] Interrupt Taken: 	 Vector = 0x0000000F
[    2.214962] Interrupt Served: 	 Vector = 0x0000000F
[    2.217795] Interrupt Taken: 	 Vector = 0x0000000F
[    2.217909] Interrupt Served: 	 Vector = 0x0000000F
[    2.220400] [passthrough] Write: 	 address = 0x40023808, size = 4 bytes, value = 0x0000f000, pc=0x08001794 
[    2.221085] Interrupt Taken: 	 Vector = 0x0000000F
[    2.221236] Interrupt Served: 	 Vector = 0x0000000F
[    2.222827] Interrupt Taken: 	 Vector = 0x0000000F
[    2.222905] Interrupt Served: 	 Vector = 0x0000000F
[    2.225180] Interrupt Taken: 	 Vector = 0x0000000F
[    2.225249] Interrupt Served: 	 Vector = 0x0000000F
[    2.228289] Interrupt Taken: 	 Vector = 0x0000000F
[    2.228387] Interrupt Served: 	 Vector = 0x0000000F
[    2.230376] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x0000f000, pc=0x080017A4 
[    2.230808] Interrupt Taken: 	 Vector = 0x0000000F
[    2.230943] Interrupt Served: 	 Vector = 0x0000000F
[    2.232493] Interrupt Taken: 	 Vector = 0x0000000F
[    2.232558] Interrupt Served: 	 Vector = 0x0000000F
[    2.234871] Interrupt Taken: 	 Vector = 0x0000000F
[    2.234949] Interrupt Served: 	 Vector = 0x0000000F
[    2.237316] [passthrough] Write: 	 address = 0x40023808, size = 4 bytes, value = 0x00001000, pc=0x080017B4 
[    2.238011] Interrupt Taken: 	 Vector = 0x0000000F
[    2.238071] Interrupt Served: 	 Vector = 0x0000000F
[    2.240360] Interrupt Taken: 	 Vector = 0x0000000F
[    2.240425] Interrupt Served: 	 Vector = 0x0000000F
[    2.243087] Interrupt Taken: 	 Vector = 0x0000000F
[    2.243266] Interrupt Served: 	 Vector = 0x0000000F
[    2.244817] Interrupt Taken: 	 Vector = 0x0000000F
[    2.244901] Interrupt Served: 	 Vector = 0x0000000F
[    2.248025] Interrupt Taken: 	 Vector = 0x0000000F
[    2.248130] Interrupt Served: 	 Vector = 0x0000000F
[    2.249717] Interrupt Taken: 	 Vector = 0x0000000F
[    2.249776] Interrupt Served: 	 Vector = 0x0000000F
[    2.251746] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x00001000, pc=0x08001816 
[    2.252117] Interrupt Taken: 	 Vector = 0x0000000F
[    2.252309] Interrupt Served: 	 Vector = 0x0000000F
[    2.254001] Interrupt Taken: 	 Vector = 0x0000000F
[    2.254102] Interrupt Served: 	 Vector = 0x0000000F
[    2.256714] Interrupt Taken: 	 Vector = 0x0000000F
[    2.256874] Interrupt Served: 	 Vector = 0x0000000F
[    2.258561] Interrupt Taken: 	 Vector = 0x0000000F
[    2.258650] Interrupt Served: 	 Vector = 0x0000000F
[    2.261203] Interrupt Taken: 	 Vector = 0x0000000F
[    2.261334] Interrupt Served: 	 Vector = 0x0000000F
[    2.262968] Interrupt Taken: 	 Vector = 0x0000000F
[    2.263055] Interrupt Served: 	 Vector = 0x0000000F
[    2.265067] Interrupt Taken: 	 Vector = 0x0000000F
[    2.265136] Interrupt Served: 	 Vector = 0x0000000F
[    2.267370] Interrupt Taken: 	 Vector = 0x0000000F
[    2.267421] Interrupt Served: 	 Vector = 0x0000000F
[    2.269886] Interrupt Taken: 	 Vector = 0x0000000F
[    2.269958] Interrupt Served: 	 Vector = 0x0000000F
[    2.273043] Interrupt Taken: 	 Vector = 0x0000000F
[    2.273129] Interrupt Served: 	 Vector = 0x0000000F
[    2.275411] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x00001000, pc=0x080017BE 
[    2.275808] Interrupt Taken: 	 Vector = 0x0000000F
[    2.276011] Interrupt Served: 	 Vector = 0x0000000F
[    2.277550] Interrupt Taken: 	 Vector = 0x0000000F
[    2.277644] Interrupt Served: 	 Vector = 0x0000000F
[    2.280177] Interrupt Taken: 	 Vector = 0x0000000F
[    2.280231] Interrupt Served: 	 Vector = 0x0000000F
[    2.282199] IO Write Access NOT Handled: 	 address = 0xE000E014, size = 4 bytes, value = 0x00003e7f, pc=0x08000CC0 
[    2.282355] IO Write Access NOT Handled (Unknown Region): 	 address = 0x00000004, size = 4 bytes, value = 0x00003e7f, pc=0x08000CC0 
[    2.282415] Interrupt Taken: 	 Vector = 0x0000000F
[    2.282603] Interrupt Served: 	 Vector = 0x0000000F
