[    2.187120] [passthrough] Write: 	 address = 0x40023808, size = 4 bytes, value = 0x00001000, pc=0x080016F4 
[    2.187976] Interrupt Taken: 	 Vector = 0x0000000F
[    2.188234] Interrupt Served: 	 Vector = 0x0000000F
[    2.190571] Interrupt Taken: 	 Vector = 0x0000000F
[    2.190692] Interrupt Served: 	 Vector = 0x0000000F
[    2.192639] Interrupt Taken: 	 Vector = 0x0000000F
[    2.192728] Interrupt Served: 	 Vector = 0x0000000F
[    2.196008] Interrupt Taken: 	 Vector = 0x0000000F
[    2.196147] Interrupt Served: 	 Vector = 0x0000000F
[    2.197782] Interrupt Taken: 	 Vector = 0x0000000F
[    2.197894] Interrupt Served: 	 Vector = 0x0000000F
[    2.200075] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x00001000, pc=0x08001756 
[    2.200489] Interrupt Taken: 	 Vector = 0x0000000F
[    2.200548] Interrupt Served: 	 Vector = 0x0000000F
[    2.202591] Interrupt Taken: 	 Vector = 0x0000000F
[    2.202726] Interrupt Served: 	 Vector = 0x0000000F
[    2.204258] Interrupt Taken: 	 Vector = 0x0000000F
[    2.204340] Interrupt Served: 	 Vector = 0x0000000F
[    2.206613] Interrupt Taken: 	 Vector = 0x0000000F
[    2.206787] Interrupt Served: 	 Vector = 0x0000000F
[    2.208313] Interrupt Taken: 	 Vector = 0x0000000F
[    2.208382] Interrupt Served: 	 Vector = 0x0000000F
[    2.210459] Interrupt Taken: 	 Vector = 0x0000000F
[    2.210561] Interrupt Served: 	 Vector = 0x0000000F
[    2.212245] Interrupt Taken: 	 Vector = 0x0000000F
[    2.212314] Interrupt Served: 	 Vector = 0x0000000F
[    2.214549] Interrupt Taken: 	 Vector = 0x0000000F
[    2.214686] Interrupt Served: 	 Vector = 0x0000000F
[    2.216248] Interrupt Taken: 	 Vector = 0x0000000F
[    2.216331] Interrupt Served: 	 Vector = 0x0000000F
[    2.219175] Interrupt Taken: 	 Vector = 0x0000000F
[    2.219253] Interrupt Served: 	 Vector = 0x0000000F
[    2.222024] Interrupt Taken: 	 Vector = 0x0000000F
[    2.222082] Interrupt Served: 	 Vector = 0x0000000F
[    2.224188] [passthrough] Read: 	 address = 0x40023808, size = 4 bytes, value = 0x00001000, pc=0x080016FE 
[    2.224551] Interrupt Taken: 	 Vector = 0x0000000F
[    2.224690] Interrupt Served: 	 Vector = 0x0000000F
[    2.226153] Interrupt Taken: 	 Vector = 0x0000000F
[    2.226200] Interrupt Served: 	 Vector = 0x0000000F
[    2.228575] Interrupt Taken: 	 Vector = 0x0000000F
[    2.228652] Interrupt Served: 	 Vector = 0x0000000F
[    2.230177] Interrupt Taken: 	 Vector = 0x0000000F
[    2.230239] Interrupt Served: 	 Vector = 0x0000000F
[    2.232231] IO Write Access NOT Handled: 	 address = 0xE000E014, size = 4 bytes, value = 0x00003e7f, pc=0x08000BCC 
[    2.232306] IO Write Access NOT Handled (Unknown Region): 	 address = 0x00000004, size = 4 bytes, value = 0x00003e7f, pc=0x08000BCC 
[    2.232409] Interrupt Taken: 	 Vector = 0x0000000F
[    2.232565] Interrupt Served: 	 Vector = 0x0000000F
[    2.234221] Interrupt Taken: 	 Vector = 0x0000000F
[    2.234304] Interrupt Served: 	 Vector = 0x0000000F
[    2.236385] IO Write Access NOT Handled: 	 address = 0xE000ED23, size = 1 bytes, value = 0xf0, pc=0x08000B32 
[    2.236493] Interrupt Taken: 	 Vector = 0x0000000F
